age_in_days,age_to_years,age_group
10487,29,30 or less
10488,29,30 or less
10489,29,30 or less
10490,29,30 or less
10491,29,30 or less
10492,29,30 or less
10493,29,30 or less
10494,29,30 or less
10495,29,30 or less
10496,29,30 or less
10497,29,30 or less
10498,29,30 or less
10499,29,30 or less
10500,29,30 or less
10501,29,30 or less
10502,29,30 or less
10503,29,30 or less
10504,29,30 or less
10505,29,30 or less
10506,29,30 or less
10507,29,30 or less
10508,29,30 or less
10509,29,30 or less
10510,29,30 or less
10511,29,30 or less
10512,29,30 or less
10513,29,30 or less
10514,29,30 or less
10515,29,30 or less
10516,29,30 or less
10517,29,30 or less
10518,29,30 or less
10519,29,30 or less
10520,29,30 or less
10521,29,30 or less
10522,29,30 or less
10523,29,30 or less
10524,29,30 or less
10525,29,30 or less
10526,29,30 or less
10527,29,30 or less
10528,29,30 or less
10529,29,30 or less
10530,29,30 or less
10531,29,30 or less
10532,29,30 or less
10533,29,30 or less
10534,29,30 or less
10535,29,30 or less
10536,29,30 or less
10537,29,30 or less
10538,29,30 or less
10539,29,30 or less
10540,29,30 or less
10541,29,30 or less
10542,29,30 or less
10543,29,30 or less
10544,29,30 or less
10545,29,30 or less
10546,29,30 or less
10547,29,30 or less
10548,29,30 or less
10549,29,30 or less
10550,29,30 or less
10551,29,30 or less
10552,29,30 or less
10553,29,30 or less
10554,29,30 or less
10555,29,30 or less
10556,29,30 or less
10557,29,30 or less
10558,29,30 or less
10559,29,30 or less
10560,29,30 or less
10561,29,30 or less
10562,29,30 or less
10563,29,30 or less
10564,29,30 or less
10565,29,30 or less
10566,29,30 or less
10567,29,30 or less
10568,29,30 or less
10569,29,30 or less
10570,29,30 or less
10571,29,30 or less
10572,29,30 or less
10573,29,30 or less
10574,29,30 or less
10575,29,30 or less
10576,29,30 or less
10577,29,30 or less
10578,29,30 or less
10579,29,30 or less
10580,29,30 or less
10581,29,30 or less
10582,29,30 or less
10583,29,30 or less
10584,29,30 or less
10585,29,30 or less
10586,29,30 or less
10587,29,30 or less
10588,29,30 or less
10589,29,30 or less
10590,29,30 or less
10591,29,30 or less
10592,29,30 or less
10593,29,30 or less
10594,29,30 or less
10595,29,30 or less
10596,29,30 or less
10597,29,30 or less
10598,29,30 or less
10599,29,30 or less
10600,29,30 or less
10601,29,30 or less
10602,29,30 or less
10603,29,30 or less
10604,29,30 or less
10605,29,30 or less
10606,29,30 or less
10607,29,30 or less
10608,29,30 or less
10609,29,30 or less
10610,29,30 or less
10611,29,30 or less
10612,29,30 or less
10613,29,30 or less
10614,29,30 or less
10615,29,30 or less
10616,29,30 or less
10617,29,30 or less
10618,29,30 or less
10619,29,30 or less
10620,29,30 or less
10621,29,30 or less
10622,29,30 or less
10623,29,30 or less
10624,29,30 or less
10625,29,30 or less
10626,29,30 or less
10627,29,30 or less
10628,29,30 or less
10629,29,30 or less
10630,29,30 or less
10631,29,30 or less
10632,29,30 or less
10633,29,30 or less
10634,29,30 or less
10635,29,30 or less
10636,29,30 or less
10637,29,30 or less
10638,29,30 or less
10639,29,30 or less
10640,29,30 or less
10641,29,30 or less
10642,29,30 or less
10643,29,30 or less
10644,29,30 or less
10645,29,30 or less
10646,29,30 or less
10647,29,30 or less
10648,29,30 or less
10649,29,30 or less
10650,29,30 or less
10651,29,30 or less
10652,29,30 or less
10653,29,30 or less
10654,29,30 or less
10655,29,30 or less
10656,29,30 or less
10657,29,30 or less
10658,29,30 or less
10659,29,30 or less
10660,29,30 or less
10661,29,30 or less
10662,29,30 or less
10663,29,30 or less
10664,29,30 or less
10665,29,30 or less
10666,29,30 or less
10667,29,30 or less
10668,29,30 or less
10669,29,30 or less
10670,29,30 or less
10671,29,30 or less
10672,29,30 or less
10673,29,30 or less
10674,29,30 or less
10675,29,30 or less
10676,29,30 or less
10677,29,30 or less
10678,29,30 or less
10679,29,30 or less
10680,29,30 or less
10681,29,30 or less
10682,29,30 or less
10683,29,30 or less
10684,29,30 or less
10685,29,30 or less
10686,29,30 or less
10687,29,30 or less
10688,29,30 or less
10689,29,30 or less
10690,29,30 or less
10691,29,30 or less
10692,29,30 or less
10693,29,30 or less
10694,29,30 or less
10695,29,30 or less
10696,29,30 or less
10697,29,30 or less
10698,29,30 or less
10699,29,30 or less
10700,29,30 or less
10701,29,30 or less
10702,29,30 or less
10703,29,30 or less
10704,29,30 or less
10705,29,30 or less
10706,29,30 or less
10707,29,30 or less
10708,29,30 or less
10709,29,30 or less
10710,29,30 or less
10711,29,30 or less
10712,29,30 or less
10713,29,30 or less
10714,29,30 or less
10715,29,30 or less
10716,29,30 or less
10717,29,30 or less
10718,29,30 or less
10719,29,30 or less
10720,29,30 or less
10721,29,30 or less
10722,29,30 or less
10723,29,30 or less
10724,29,30 or less
10725,29,30 or less
10726,29,30 or less
10727,29,30 or less
10728,29,30 or less
10729,29,30 or less
10730,29,30 or less
10731,29,30 or less
10732,29,30 or less
10733,29,30 or less
10734,29,30 or less
10735,29,30 or less
10736,29,30 or less
10737,29,30 or less
10738,29,30 or less
10739,29,30 or less
10740,29,30 or less
10741,29,30 or less
10742,29,30 or less
10743,29,30 or less
10744,29,30 or less
10745,29,30 or less
10746,29,30 or less
10747,29,30 or less
10748,29,30 or less
10749,29,30 or less
10750,29,30 or less
10751,29,30 or less
10752,29,30 or less
10753,29,30 or less
10754,29,30 or less
10755,29,30 or less
10756,29,30 or less
10757,29,30 or less
10758,29,30 or less
10759,29,30 or less
10760,29,30 or less
10761,29,30 or less
10762,29,30 or less
10763,29,30 or less
10764,29,30 or less
10765,29,30 or less
10766,29,30 or less
10767,29,30 or less
10768,29,30 or less
10769,29,30 or less
10770,29,30 or less
10771,29,30 or less
10772,29,30 or less
10773,29,30 or less
10774,29,30 or less
10775,30,30 or less
10776,30,30 or less
10777,30,30 or less
10778,30,30 or less
10779,30,30 or less
10780,30,30 or less
10781,30,30 or less
10782,30,30 or less
10783,30,30 or less
10784,30,30 or less
10785,30,30 or less
10786,30,30 or less
10787,30,30 or less
10788,30,30 or less
10789,30,30 or less
10790,30,30 or less
10791,30,30 or less
10792,30,30 or less
10793,30,30 or less
10794,30,30 or less
10795,30,30 or less
10796,30,30 or less
10797,30,30 or less
10798,30,30 or less
10799,30,30 or less
10800,30,30 or less
10801,30,30 or less
10802,30,30 or less
10803,30,30 or less
10804,30,30 or less
10805,30,30 or less
10806,30,30 or less
10807,30,30 or less
10808,30,30 or less
10809,30,30 or less
10810,30,30 or less
10811,30,30 or less
10812,30,30 or less
10813,30,30 or less
10814,30,30 or less
10815,30,30 or less
10816,30,30 or less
10817,30,30 or less
10818,30,30 or less
10819,30,30 or less
10820,30,30 or less
10821,30,30 or less
10822,30,30 or less
10823,30,30 or less
10824,30,30 or less
10825,30,30 or less
10826,30,30 or less
10827,30,30 or less
10828,30,30 or less
10829,30,30 or less
10830,30,30 or less
10831,30,30 or less
10832,30,30 or less
10833,30,30 or less
10834,30,30 or less
10835,30,30 or less
10836,30,30 or less
10837,30,30 or less
10838,30,30 or less
10839,30,30 or less
10840,30,30 or less
10841,30,30 or less
10842,30,30 or less
10843,30,30 or less
10844,30,30 or less
10845,30,30 or less
10846,30,30 or less
10847,30,30 or less
10848,30,30 or less
10849,30,30 or less
10850,30,30 or less
10851,30,30 or less
10852,30,30 or less
10853,30,30 or less
10854,30,30 or less
10855,30,30 or less
10856,30,30 or less
10857,30,30 or less
10858,30,30 or less
10859,30,30 or less
10860,30,30 or less
10861,30,30 or less
10862,30,30 or less
10863,30,30 or less
10864,30,30 or less
10865,30,30 or less
10866,30,30 or less
10867,30,30 or less
10868,30,30 or less
10869,30,30 or less
10870,30,30 or less
10871,30,30 or less
10872,30,30 or less
10873,30,30 or less
10874,30,30 or less
10875,30,30 or less
10876,30,30 or less
10877,30,30 or less
10878,30,30 or less
10879,30,30 or less
10880,30,30 or less
10881,30,30 or less
10882,30,30 or less
10883,30,30 or less
10884,30,30 or less
10885,30,30 or less
10886,30,30 or less
10887,30,30 or less
10888,30,30 or less
10889,30,30 or less
10890,30,30 or less
10891,30,30 or less
10892,30,30 or less
10893,30,30 or less
10894,30,30 or less
10895,30,30 or less
10896,30,30 or less
10897,30,30 or less
10898,30,30 or less
10899,30,30 or less
10900,30,30 or less
10901,30,30 or less
10902,30,30 or less
10903,30,30 or less
10904,30,30 or less
10905,30,30 or less
10906,30,30 or less
10907,30,30 or less
10908,30,30 or less
10909,30,30 or less
10910,30,30 or less
10911,30,30 or less
10912,30,30 or less
10913,30,30 or less
10914,30,30 or less
10915,30,30 or less
10916,30,30 or less
10917,30,30 or less
10918,30,30 or less
10919,30,30 or less
10920,30,30 or less
10921,30,30 or less
10922,30,30 or less
10923,30,30 or less
10924,30,30 or less
10925,30,30 or less
10926,30,30 or less
10927,30,30 or less
10928,30,30 or less
10929,30,30 or less
10930,30,30 or less
10931,30,30 or less
10932,30,30 or less
10933,30,30 or less
10934,30,30 or less
10935,30,30 or less
10936,30,30 or less
10937,30,30 or less
10938,30,30 or less
10939,30,30 or less
10940,30,30 or less
10941,30,30 or less
10942,30,30 or less
10943,30,30 or less
10944,30,30 or less
10945,30,30 or less
10946,30,30 or less
10947,30,30 or less
10948,30,30 or less
10949,30,30 or less
10950,30,30 or less
10951,30,30 or less
10952,30,30 or less
10953,30,30 or less
10954,30,30 or less
10955,30,30 or less
10956,30,30 or less
10957,30,30 or less
10958,30,30 or less
10959,30,30 or less
10960,30,30 or less
10961,30,30 or less
10962,30,30 or less
10963,30,30 or less
10964,30,30 or less
10965,30,30 or less
10966,30,30 or less
10967,30,30 or less
10968,30,30 or less
10969,30,30 or less
10970,30,30 or less
10971,30,30 or less
10972,30,30 or less
10973,30,30 or less
10974,30,30 or less
10975,30,30 or less
10976,30,30 or less
10977,30,30 or less
10978,30,30 or less
10979,30,30 or less
10980,30,30 or less
10981,30,30 or less
10982,30,30 or less
10983,30,30 or less
10984,30,30 or less
10985,30,30 or less
10986,30,30 or less
10987,30,30 or less
10988,30,30 or less
10989,30,30 or less
10990,30,30 or less
10991,30,30 or less
10992,30,30 or less
10993,30,30 or less
10994,30,30 or less
10995,30,30 or less
10996,30,30 or less
10997,30,30 or less
10998,30,30 or less
10999,30,30 or less
11000,30,30 or less
11001,30,30 or less
11002,30,30 or less
11003,30,30 or less
11004,30,30 or less
11005,30,30 or less
11006,30,30 or less
11007,30,30 or less
11008,30,30 or less
11009,30,30 or less
11010,30,30 or less
11011,30,30 or less
11012,30,30 or less
11013,30,30 or less
11014,30,30 or less
11015,30,30 or less
11016,30,30 or less
11017,30,30 or less
11018,30,30 or less
11019,30,30 or less
11020,30,30 or less
11021,30,30 or less
11022,30,30 or less
11023,30,30 or less
11024,30,30 or less
11025,30,30 or less
11026,30,30 or less
11027,30,30 or less
11028,30,30 or less
11029,30,30 or less
11030,30,30 or less
11031,30,30 or less
11032,30,30 or less
11033,30,30 or less
11034,30,30 or less
11035,30,30 or less
11036,30,30 or less
11037,30,30 or less
11038,30,30 or less
11039,30,30 or less
11040,30,30 or less
11041,30,30 or less
11042,30,30 or less
11043,30,30 or less
11044,30,30 or less
11045,30,30 or less
11046,30,30 or less
11047,30,30 or less
11048,30,30 or less
11049,30,30 or less
11050,30,30 or less
11051,30,30 or less
11052,30,30 or less
11053,30,30 or less
11054,30,30 or less
11055,30,30 or less
11056,30,30 or less
11057,30,30 or less
11058,30,30 or less
11059,30,30 or less
11060,30,30 or less
11061,30,30 or less
11062,30,30 or less
11063,30,30 or less
11064,30,30 or less
11065,30,30 or less
11066,30,30 or less
11067,30,30 or less
11068,30,30 or less
11069,30,30 or less
11070,30,30 or less
11071,30,30 or less
11072,30,30 or less
11073,30,30 or less
11074,30,30 or less
11075,30,30 or less
11076,30,30 or less
11077,30,30 or less
11078,30,30 or less
11079,30,30 or less
11080,30,30 or less
11081,30,30 or less
11082,30,30 or less
11083,30,30 or less
11084,30,30 or less
11085,30,30 or less
11086,30,30 or less
11087,30,30 or less
11088,30,30 or less
11089,30,30 or less
11090,30,30 or less
11091,30,30 or less
11092,30,30 or less
11093,30,30 or less
11094,30,30 or less
11095,30,30 or less
11096,30,30 or less
11097,30,30 or less
11098,30,30 or less
11099,30,30 or less
11100,30,30 or less
11101,30,30 or less
11102,30,30 or less
11103,30,30 or less
11104,30,30 or less
11105,30,30 or less
11106,30,30 or less
11107,30,30 or less
11108,30,30 or less
11109,30,30 or less
11110,30,30 or less
11111,30,30 or less
11112,30,30 or less
11113,30,30 or less
11114,30,30 or less
11115,30,30 or less
11116,30,30 or less
11117,30,30 or less
11118,30,30 or less
11119,30,30 or less
11120,30,30 or less
11121,30,30 or less
11122,30,30 or less
11123,30,30 or less
11124,30,30 or less
11125,30,30 or less
11126,30,30 or less
11127,30,30 or less
11128,30,30 or less
11129,30,30 or less
11130,30,30 or less
11131,30,30 or less
11132,30,30 or less
11133,30,30 or less
11134,30,30 or less
11135,30,30 or less
11136,30,30 or less
11137,30,30 or less
11138,30,30 or less
11139,30,30 or less
11140,30,30 or less
11141,31,31 to 35
11142,31,31 to 35
11143,31,31 to 35
11144,31,31 to 35
11145,31,31 to 35
11146,31,31 to 35
11147,31,31 to 35
11148,31,31 to 35
11149,31,31 to 35
11150,31,31 to 35
11151,31,31 to 35
11152,31,31 to 35
11153,31,31 to 35
11154,31,31 to 35
11155,31,31 to 35
11156,31,31 to 35
11157,31,31 to 35
11158,31,31 to 35
11159,31,31 to 35
11160,31,31 to 35
11161,31,31 to 35
11162,31,31 to 35
11163,31,31 to 35
11164,31,31 to 35
11165,31,31 to 35
11166,31,31 to 35
11167,31,31 to 35
11168,31,31 to 35
11169,31,31 to 35
11170,31,31 to 35
11171,31,31 to 35
11172,31,31 to 35
11173,31,31 to 35
11174,31,31 to 35
11175,31,31 to 35
11176,31,31 to 35
11177,31,31 to 35
11178,31,31 to 35
11179,31,31 to 35
11180,31,31 to 35
11181,31,31 to 35
11182,31,31 to 35
11183,31,31 to 35
11184,31,31 to 35
11185,31,31 to 35
11186,31,31 to 35
11187,31,31 to 35
11188,31,31 to 35
11189,31,31 to 35
11190,31,31 to 35
11191,31,31 to 35
11192,31,31 to 35
11193,31,31 to 35
11194,31,31 to 35
11195,31,31 to 35
11196,31,31 to 35
11197,31,31 to 35
11198,31,31 to 35
11199,31,31 to 35
11200,31,31 to 35
11201,31,31 to 35
11202,31,31 to 35
11203,31,31 to 35
11204,31,31 to 35
11205,31,31 to 35
11206,31,31 to 35
11207,31,31 to 35
11208,31,31 to 35
11209,31,31 to 35
11210,31,31 to 35
11211,31,31 to 35
11212,31,31 to 35
11213,31,31 to 35
11214,31,31 to 35
11215,31,31 to 35
11216,31,31 to 35
11217,31,31 to 35
11218,31,31 to 35
11219,31,31 to 35
11220,31,31 to 35
11221,31,31 to 35
11222,31,31 to 35
11223,31,31 to 35
11224,31,31 to 35
11225,31,31 to 35
11226,31,31 to 35
11227,31,31 to 35
11228,31,31 to 35
11229,31,31 to 35
11230,31,31 to 35
11231,31,31 to 35
11232,31,31 to 35
11233,31,31 to 35
11234,31,31 to 35
11235,31,31 to 35
11236,31,31 to 35
11237,31,31 to 35
11238,31,31 to 35
11239,31,31 to 35
11240,31,31 to 35
11241,31,31 to 35
11242,31,31 to 35
11243,31,31 to 35
11244,31,31 to 35
11245,31,31 to 35
11246,31,31 to 35
11247,31,31 to 35
11248,31,31 to 35
11249,31,31 to 35
11250,31,31 to 35
11251,31,31 to 35
11252,31,31 to 35
11253,31,31 to 35
11254,31,31 to 35
11255,31,31 to 35
11256,31,31 to 35
11257,31,31 to 35
11258,31,31 to 35
11259,31,31 to 35
11260,31,31 to 35
11261,31,31 to 35
11262,31,31 to 35
11263,31,31 to 35
11264,31,31 to 35
11265,31,31 to 35
11266,31,31 to 35
11267,31,31 to 35
11268,31,31 to 35
11269,31,31 to 35
11270,31,31 to 35
11271,31,31 to 35
11272,31,31 to 35
11273,31,31 to 35
11274,31,31 to 35
11275,31,31 to 35
11276,31,31 to 35
11277,31,31 to 35
11278,31,31 to 35
11279,31,31 to 35
11280,31,31 to 35
11281,31,31 to 35
11282,31,31 to 35
11283,31,31 to 35
11284,31,31 to 35
11285,31,31 to 35
11286,31,31 to 35
11287,31,31 to 35
11288,31,31 to 35
11289,31,31 to 35
11290,31,31 to 35
11291,31,31 to 35
11292,31,31 to 35
11293,31,31 to 35
11294,31,31 to 35
11295,31,31 to 35
11296,31,31 to 35
11297,31,31 to 35
11298,31,31 to 35
11299,31,31 to 35
11300,31,31 to 35
11301,31,31 to 35
11302,31,31 to 35
11303,31,31 to 35
11304,31,31 to 35
11305,31,31 to 35
11306,31,31 to 35
11307,31,31 to 35
11308,31,31 to 35
11309,31,31 to 35
11310,31,31 to 35
11311,31,31 to 35
11312,31,31 to 35
11313,31,31 to 35
11314,31,31 to 35
11315,31,31 to 35
11316,31,31 to 35
11317,31,31 to 35
11318,31,31 to 35
11319,31,31 to 35
11320,31,31 to 35
11321,31,31 to 35
11322,31,31 to 35
11323,31,31 to 35
11324,31,31 to 35
11325,31,31 to 35
11326,31,31 to 35
11327,31,31 to 35
11328,31,31 to 35
11329,31,31 to 35
11330,31,31 to 35
11331,31,31 to 35
11332,31,31 to 35
11333,31,31 to 35
11334,31,31 to 35
11335,31,31 to 35
11336,31,31 to 35
11337,31,31 to 35
11338,31,31 to 35
11339,31,31 to 35
11340,31,31 to 35
11341,31,31 to 35
11342,31,31 to 35
11343,31,31 to 35
11344,31,31 to 35
11345,31,31 to 35
11346,31,31 to 35
11347,31,31 to 35
11348,31,31 to 35
11349,31,31 to 35
11350,31,31 to 35
11351,31,31 to 35
11352,31,31 to 35
11353,31,31 to 35
11354,31,31 to 35
11355,31,31 to 35
11356,31,31 to 35
11357,31,31 to 35
11358,31,31 to 35
11359,31,31 to 35
11360,31,31 to 35
11361,31,31 to 35
11362,31,31 to 35
11363,31,31 to 35
11364,31,31 to 35
11365,31,31 to 35
11366,31,31 to 35
11367,31,31 to 35
11368,31,31 to 35
11369,31,31 to 35
11370,31,31 to 35
11371,31,31 to 35
